PLANTID,TÊN KHOA HỌC,TÊN GỌI,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0102,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0103,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 40x30cm (DxC)
•Chiều cao tổng: 170 – 180cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0104,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 30×35 cm (DxC)
•Chiều cao tổng: 80 – 100 cm",,,,,,
CCNPLT0105,Scheffera Octophylla,Ngũ gia bì,"• Kích thước chậu: 30x50cm (DxC)
• Chiều cao tổng: 130 – 140cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0106,Monstera ‘Deliciosa’,Trầu bà Nam Mỹ,"• Chiều cao tổng chậu: 170cm
• Kích thước lá: 65 – 70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0107,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 30×35 cm (DxC)
Chiều cao tổng: 80 – 100 cm",,,,,,
CCNPLT0108,Calathea Musaica,Cây đuôi công ‘Network’,"• Kích thước chậu: 15x15cm (DxC)
• Chiều cao tổng 25 – 30 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0109,,Cây Đại phú gia / Trầu bà neon,"• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 140 – 150 cm",Dễ chăm sóc,Nắng tán xạ / Sáng vừa phải,Tưới nước 2 – 3 lần/tuần,,,Đá mài,Màu đen,,,
CCNPLT0110,Calathea ornata Sanderiana,Cây đuôi công sọc,,Dễ chăm sóc,Nhiều ánh sáng / tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng 25 – 30cm",,,,,,
CCNPLT0111,Aglaonema ‘Pink Lady’,Cây hồng phát lộc,"• Kích thước chậu: 11×12 cm (DxC)
• Chiều cao tổng: 25 – 30cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0112,Dracaena draco L,Phát tài núi,Chiều cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0113,Alocasia Silver Dragon,Rồng bạc,"• Kích thước chậu: 15x15cm (DxC)
• Chiều cao tổng: 30 – 32 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0114,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 30 – 35cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0115,Philodendron Imperial Red,Trầu bà đế vương đỏ,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 50 – 60 cm
• Độ rộng tán: 50 – 60 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0116,Bucida Buceras Variegated,Bàng Đài Loan cẩm thạch,"• Kích thước chậu: 30×60 cm (DxC)
• Chiều cao tổng: 120–130 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0117,Philodendron Birkin,Trầu bà đế vương kim cương,"• Kích thước chậu: 18x30cm (DxC)
• Chiều cao tổng: 60 – 70cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0118,Chrysanthemum morifolium,Hoa cúc mâm xôi,"• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 1 lần/ngày,,,,,,,
CCNPLT0119,Aglaoocma SP,Đại phú gia,"• Kích thước chậu: 32x52cm (DxC)
• Chiều cao 120 – 140 cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0120,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,Chiều cao 30 – 40cm,Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0121,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,"• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0122,Podocarpus macrophyllus,Cây tùng bồng lai,Chiều cao 20 – 25 cm,Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0123,Podocarpus macrophyllus,Cây tùng bồng lai,Chiều cao 20 – 25 cm,Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0124,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 30x32cm (DxC)
• Chiều cao tổng: 90–100cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0125,Chlorophytum laxum,Cây cỏ lan chi / cây dây nhện,,Rất dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 30 – 40 cm,,,,,,
CCNPLT0126,Ficus lyrata,Cây bàng Singapore,"• Kích thước chậu: 30×25 cm (DxC)
• Chiều cao tổng: 100 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0127,Philodendron Xanadu,Cây Trầu Bà Chân Vịt,,Vừa phải,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",Cao 50 cm,,,,Tính axit,Có khả năng hấp thu chất độc hại,
CCNPLT0128,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 50 – 60 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0129,Aglaonema Snow White,Cây ngọc ngân,"• Kích thước chậu: 17x17cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0130,Pachira aquatica,Cây kim ngân bính,Chiều cao 35cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Vừa phải (2 lần/tuần),,,,,,,
CCNPLT0131,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 30 – 32cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0132,Anthurium andreanum,Cây hồng môn,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0133,Chrysanthemum morifolium,Hoa cúc mâm xôi,"• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 50 – 55cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0134,Dracaena reflexa,Trúc bách hợp,"• Kích thước chậu: 33×52 cm
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0135,Pachira aquatica,Cây kim ngân,Chiều cao 120 – 140 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0136,Anthurium andreanum,Cây hồng môn,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0137,Pachira aquatica,Cây kim ngân,Chiều cao 20 – 25 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước 2 lần/tuần,,,,,,,
CCNPLT0138,Monstera adansonii,Cây trầu bà lỗ,,Vừa phải,Nắng tán xạ / Bóng râm,Tưới nước 4 – 5 lần/tuần,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40 cm",,,,,,
CCNPLT0139,Aglaonema red ‘Sumatra’,Cây bao thanh thiên,"• Kích thước chậu:
• Chiều cao tổng: 30 – 40 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0140,,Cây cọ Nhật/ Thịnh vượng / Cung điện / Trầu bà,"• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 140 – 150 cm",Dễ chăm sóc,Nắng tán xạ / Sáng vừa phải,Tưới nước 2 – 3 lần/tuần,,,Đá mài,Màu đen,,,
CCNPLT0141,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 28x34cm (DxC)
• Chiều cao tổng: 100 – 120cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0142,,Cây đại lộc / vạn lộc / ngọc ngân / đô la,"• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 220 – 240 cm",Dễ chăm sóc,Nắng tán nhiều / Nhiều sáng,Tưới nước 2 – 3 lần/tuần,,,Gốm sứ,Màu nâu sáng,,,
CCNPLT0143,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0144,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,"• Kích thước chậu: 30x60cm (ĐxC)
• Chiều cao 140 – 150cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0145,Aglaonema Snow White,Cây ngọc ngân,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0146,,Cây hạnh phúc / vạn lộc / trúc Nhật / tróc bạc,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 110 – 120 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng nhẹ,Màu trắng,,,
CCNPLT0147,Monstera Borsigiana,Trầu bà Nam Mỹ,"• Kích thước chậu: 28x42cm (DxC)
• Chiều cao tổng: 100 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0148,Radermachera Sinica,Cây hạnh phúc,Chiều cao: 70 – 80cm (DxC),Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0149,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,"• Chiều cao 90 – 110cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,"Ít tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0150,Pachira aquatica,Cây kim ngân,Chiều cao 20 – 25 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước 2 lần/tuần,,,,,,,
CCNPLT0151,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 90 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0152,Epipremnum Marble Queen,Trầu bà lá sữa,"• Chiều cao 10 – 20 cm
• Đường kính tán: 25 – 30 cm",Rất dễ chăm sóc,Ánh nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0153,,Cây hạnh phúc / vạn lộc / ngọc ngân / thường xuân,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 110 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng nhẹ,Màu trắng / Xanh dương / Vàng 24k,,,
CCNPLT0154,Livistona chinensis,Cọ lá xẻ,"• Kích thước chậu: 14x14cm (DxC)
• Chiều cao chậu + cây: 25cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0155,Monstera Borsiagana,Trầu bà Nam Mỹ,"• Kích thước lá: 15 – 30cm
• Chiều cao: 50 – 60cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0156,Aglaonema ‘Ivy Green’,Cây tiểu bạch mã hoàng tử,"• Kích thước tán: 20 – 25cm
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0157,Aglaonema ‘White Lance’,Cây giữ tiền,Chiều cao: 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0158,,Cây đại phú gia / Vạn lộc / Ngọc ngân / May mắn,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 110 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng nhẹ,Màu đen,,,
CCNPLT0159,Monstera Borsigiana,Trầu bà Nam Mỹ,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 60 – 70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0160,Radermachera Sinica,Cây hạnh phúc,Kích thước cây: 70 – 80 (cm),Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0161,,Cây lưỡi hổ / Vạn lộc / Ngọc ngân / Phú quý,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 120 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng nhẹ,Màu vàng / Xanh dương / Trắng,,,
CCNPLT0162,,Cây đại phú gia / Đô la / May mắn,"• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 100 – 120 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng đá mài,Màu đen,,,
CCNPLT0163,Ficus elastica,Đa búp đỏ,Chiều cao: 80 – 100 cm,Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0164,Heliconia Psittacorum Variegated ‘Lady Di’,Cây chuối mỏ két đỏ / Thiên điểu cẩm thạch,Chiều cao: 50 – 70 cm,Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0165,Ficus lyrata,Cây bàng Singapore,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0166,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0167,Anthurium andreanum,Cây hồng môn,Chiều cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0168,Sansevieria zeylanica,Lưỡi hổ xanh,"• Kích thước chậu: 30×30 cm
• Chiều cao tổng: 80 – 90 cm",Rất dễ chăm sóc,"Nắng tán xạ, chịu được thiếu nắng",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0169,Bucida buceras Variegated,Bàng Đài Loan cẩm thạch,"• Kích thước chậu: 30x32cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,Nắng tán xạ / Nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0170,Phoenix roebelenii,Cây cau nga mi / Chà là cảnh,"• Kích thước cây: 150 – 160 cm
• Kích thước chậu: 40×40 cm (DxC)
• Chiều cao tổng: 180 ~ 190 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0171,Chrysalidocarpus lutescens Wendl,Cau vàng Nhật Bản,Chiều cao ~160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0172,Radermachera Sinica,Cây hạnh phúc,"Kích thước chậu: 35x45cm (DxC)
Chiều cao tổng: 110 – 120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0173,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"• Kích thước chậu: 40×40 cm (DxC)
• Chiều cao tổng: 90 ~ 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0174,Epipremnum aureum,Trầu bà xanh,"Kích thước chậu: 30×50 cm (DxC)
Chiều cao tổng: 160 – 170 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0175,Licuala grandis,Cọ Nhật,"• Kích thước chậu:
• Chiều cao chậu + cây: 130cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0176,Radermachera Sinica,Cây hạnh phúc,"Kích thước chậu: 35x45cm (DxC)
Chiều cao tổng: 110 – 120 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0177,Radermachera Sinica,Cây hạnh phúc,"Kích thước chậu: 30x25cm (DxC)
Chiều cao tổng: 90 – 110 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0178,,Cây lưỡi hổ / vạn lộc / trầu bà,"• Kích thước chậu: 30×50 cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Gốm sứ,Xám khói,,,
CCNPLT0179,Ficus lyrata,Cây bàng Singapore,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0180,Syngonium podophyllum ‘Albo Variegata’,Tróc bạc Albo,"• Kích thước chậu: 17×17 cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,Ánh sáng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0181,Ficus lyrata,Cây bàng Singapore,"• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 80 – 90 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0182,Syngonium podophyllum “Pink Spot”,Tróc bạc hồng,"• Kích thước chậu: 24×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,Ánh sáng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0183,Philodendron Warscewiczii Aurea Flavum,Cây trầu bà thanh xuân vàng,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,Ánh sáng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0184,Maranta leuconeura,Cây cầu nguyên,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao: 10cm
• Đường kính tán: 25cm",Dễ chăm sóc,Ánh sáng tán xạ / Râm mát,Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0185,Scheffera Octophylla,Ngũ gia bì,Chiều cao 30 ~ 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0186,Cordyline fruticosa Mocha Latte,Huyết huyết dụ ‘Mocha Latte’,Chiều cao: 20 – 30 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0187,Peperomia ‘Watermelon’,Cây dưa hấu,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tháng,Chiều cao 20 – 30 cm,,,,,,
CCNPLT0188,Chlorophytum orchidastrum,Cây phượng hoàng lửa / Lục thảo lan,"• Kích thước chậu: 20×24
• Chiều cao tổng: 45 – 50 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0189,Ficus lyrata,Cây bàng Singapore,"• Kích thước chậu: 20×20 cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0190,Cordyline fruticosa ‘Waihee Rainbow’,Huyết phất dụ 7 sắc,"• Kích thước chậu: 17×17  cm (DxC)
• Chiều cao tổng: 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0191,Licuala grandis,Cọ Nhật,"Chiều cao cây: 90cm
Chiều cao chậu + cây: 130cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước: 2 – 3 lần/tuần,,,,,,,
CCNPLT0192,Dracaena draco L,Phát tài núi,Chiều cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0193,Cordyline fruticosa ‘Waihee Rainbow’,Huyết phất dụ 7 sắc,Chiều cao 30 – 50 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0194,Dieffenbachia Seguine ‘Tropic Snow’,Cây vạn niên thanh,"• Chiều cao: 60 – 80 cm
• Kích thước tán: 60 – 80 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0195,Aglaonema Morodoklok,Cây sao sáng lá đậm,"• Kích thước chậu: 26×20 cm (DxC)
• Chiều cao: 30 – 40 cm
• Kích thước tán: 40 – 60 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0196,Aglaonema ‘Pink Legacy’,Cây cung điện vàng,"• Kích thước chậu:  18×14 cm (DxC)
• Chiều cao tổng: 35 – 40 cm",Dê chăm sóc,Nắng tán xạ / Nơi râm mát,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0197,Sansevieria futura Superba,Cây lưỡi hổ thái,"• Kích thước chậu
• Chiều cao tổng: 30 – 40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0198,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,Chiều cao tổng: 20~30 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0199,Aglaonema ‘Pink Lady’,Cây hồng phát lộc,"• Kích thước chậu: 15×14 cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0200,Anthurium andreanum,Cây hồng môn,Chiều cao 30 – 40 cm,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0201,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"• Kích thước chậu: 40×57 cm (DxC)
• Chiều cao tổng: 100 ~ 110 cm
• Đường kính tán: 60 ~ 70 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0202,Epipremnum aureum,Trầu bà xanh,"Kích thước chậu: 40×57 cm (DxC)
Chiều cao tổng: 160 – 170 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0203,Bucida buceras Variegated,Bàng Đài Loan cẩm thạch,Chiều cao 80 – 100 cm,Dễ chăm sóc,Nắng tán xạ / Nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0204,Philodendron billietiae,Cây hồng hạc chân cam,"Kích thước chậu: 32×25 cm (DxC)
Kích thước lá: 45 ~ 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
