PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0116,,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-xi-mang-tru-tron-cao-bubu005/,Cây bàng Đài Loan cẩm thạch chậu xi măng trụ tròn cao BUBU005,Bucida Buceras Variegated,Bàng Đài Loan cẩm thạch,750000,"Cây Bàng Đài Loan Cẩm Thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng","• Kích thước chậu: 30×60 cm (DxC)
• Chiều cao tổng: 120–130 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0117,PHBR005,https://mowgarden.com/cay-trau-ba-de-vuong-kim-cuong-birkin-chau-dat-nung-phbr005/,Cây trầu bà đế vương kim cương ‘Birkin’ chậu đất nung PHBR005,Philodendron Birkin,Trầu bà đế vương kim cương,420000,"Đế vương kim cương sở hữu bộ lá xanh khoẻ khoắn, xen kẽ vân sọc trắng hài hoà và đầy cuốn hút. Chắc chắn nó sẽ là điểm nhấm tuyệt vời cho không gian nội thất, bớt đi sự nhàm chán và giúp cải thiện chất lượng không khí hiệu quả.","• Kích thước chậu: 18x30cm (DxC)
• Chiều cao tổng: 60 – 70cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0118,HCMX002,https://mowgarden.com/chau-hoa-cuc-mam-xoi-trang-tri-xot-nhua-hcmx002/,Chậu hoa cúc mâm xôi trang trí xọt nhựa HCMX002,Chrysanthemum morifolium,Hoa cúc mâm xôi,160000,"Cúc mâm xôi là một trong các loài hoa không thể thiếu vào dịp Tết cổ truyền. Chậu cúc mâm xôi có hình dáng tỏa ra theo dạng hình cầu, mang ý nghĩa vẹn tròn, cho một năm mới xuôn sẻ. Với màu vàng được xem là màu của sung túc, đầm ấm và nhiều tài lộc hơn. Do đó, người ta thường tặng cả cặp làm quà tặng cho ông bà, cha mẹ hoặc quý đối tác.","• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 1 lần/ngày,,,,,,,
CCNPLT0119,CDPG006,https://mowgarden.com/cay-dai-phu-gia-chau-xi-mang-da-mai-cdpg006/,Cây đại phú gia chậu xi măng đá mài CDPG006,Aglaoocma SP,Đại phú gia,840000,"Cây đại phú gia để bàn thuộc họ cây ráy, có tên khoa học là Aglaoocma SP. Loài cây này mọc phân bổ chủ yếu ở các nước có khí hậu nhiệt đới, ưa ẩm và bóng râm có nguồn gốc từ châu Mỹ.","• Kích thước chậu: 32x52cm (DxC)
• Chiều cao 120 – 140 cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0120,BDCT004,https://mowgarden.com/cay-da-bup-do-cam-thach-mot-than-chau-su-bdct004/,Cây đa búp đỏ cẩm thạch một thân chậu sứ BDCT004,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,300000,"Từ lâu cây Đa luôn là biểu tượng của sự trường tồn, sức sống dẻo dai, nơi chứa đựng thần quyền và tâm linh của con người. Chính lẽ đó mà trong phong thủy, Đa Búp Đỏ cũng mang ý nghĩa của sự may mắn, an lành.",Chiều cao 30 – 40cm,Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0121,AGRA003,https://mowgarden.com/cay-van-loc-son-red-anjamani-de-ban-chau-su-agra003/,Cây vạn lộc son ‘Red Anjamani’ để bàn chậu sứ AGRA003,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,320000,"Cô tòng đuôi lươn sở hữu bộ lá nhiều màu sắc rực rỡ, cùng những đường viền hoa văn độc đáo, chúngthường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.","• Kích thước tán: 35 – 40cm
• Chiều cao: 35 – 40cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0122,TUBO003,https://mowgarden.com/cay-tung-bong-lai-cap-doi-tinh-yeu-chau-su-tubo003/,Cây tùng bồng lai cặp đôi tình yêu chậu sứ TUBO003,Podocarpus macrophyllus,Cây tùng bồng lai,320000,"Cây Tùng Bông Lai là một loài cây mang vẻ đẹp trang nhã, với tán lá dầy xanh mướt trông giống như những đám mây và có kích thước nhỏ gọn nên rất thích hợp để bàn làm việc. Chúng là loài cây dễ trồng nên không cần phải tốn công chăm sóc, tuy nhiên cần đặt tại nơi có nhiều ánh sáng.",Chiều cao 20 – 25 cm,Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0123,,https://mowgarden.com/cay-tung-bong-lai-chau-dat-nung-wax-hoa-cuc-tubo002/,Cây Tùng bồng lai chậu đất nung wax hoa cúc TUBO002,Podocarpus macrophyllus,Cây tùng bồng lai,320000,"Cây Tùng Bông Lai là một loài cây mang vẻ đẹp trang nhã, với tán lá dầy xanh mướt trông giống như những đám mây và có kích thước nhỏ gọn nên rất thích hợp để bàn làm việc. Chúng là loài cây dễ trồng nên không cần phải tốn công chăm sóc, tuy nhiên cần đặt tại nơi có nhiều ánh sáng.",Chiều cao 20 – 25 cm,Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0124,,https://mowgarden.com/cay-hanh-phuc-chau-dat-nung-hoang-gia-rade023/,Cây hạnh phúc chậu đất nung hoàng gia RADE023,Radermachera Sinica,Cây hạnh phúc,750000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 30x32cm (DxC)
• Chiều cao tổng: 90–100cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0125,,https://mowgarden.com/cay-co-lan-chi-de-ban-chau-men-bong-hoa-tiet-spi003/,Cây cỏ lan chi để bàn chậu men bóng họa tiết SPI003,Chlorophytum laxum,Cây cỏ lan chi / cây dây nhện,180000,"Cỏ Lan Chi (hay còn gọi là Cỏ Nhện) là loại cây rất dễ sống với điều kiện khí hậu nóng tại Việt Nam. Đặc biệt, nó nằm trong top các loại cây lọc không khí rất hiệu quả, có thể đặt trong phòng ngủ giúp bạn có giấc ngủ trong lành hơn.",,Rất dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 30 – 40 cm,,,,,,
CCNPLT0126,LYRA041,https://mowgarden.com/cay-bang-singapore-mot-than-chau-dat-nung-lyra041/,Cây bàng Singapore một thân chậu đất nung LYRA041,Ficus lyrata,Cây bàng Singapore,340000,"Cây Bàng Singapore là loại cây nội thất đang được ưa chuộng nhất hiện nay. Cây có khả năng cải thiện chất lượng không khí. Mang lại sự xanh mát và sang trọng cho không gian của bạn, trang trí phòng khách, văn phòng, quán cafe hay shop.Hoặc làm quà tặng dịp khai trương, tân gia…","• Kích thước chậu: 30×25 cm (DxC)
• Chiều cao tổng: 100 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0127,,https://mowgarden.com/cay-trau-ba-chan-vit-chau-su-trang-co-van-philodendron-xanadu-ctbcv002/,Cây Trầu Bà Chân Vịt chậu sứ trắng có vân Philodendron Xanadu CTBCV002,Philodendron Xanadu,Cây Trầu Bà Chân Vịt,750000,"Khi nói đến Trầu Bà Chân Vịt thì có thể nhiều người sẽ cảm thấy lạ lẫm kèm theo đó là tò mò không biết hình dạng của loài cây đó ra sao. Đó là một loài cây có đặc tính sinh trưởng mạnh mẽ, thường được mọi người dùng để tô điểm cho không gian sinh sống, trang trí nội thất.",,Vừa phải,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",Cao 50 cm,,,,Tính axit,Có khả năng hấp thu chất độc hại,
CCNPLT0128,ZAMI031,https://mowgarden.com/cay-kim-tien-trung-tet-chau-dat-nung-hoa-cuc-zami031/,Cây kim tiền trưng tết chậu đất nung hoa cúc ZAMI031,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,420000,"Cây kim tiền có lá hình xương cá màu xanh mướt. Loài này rất dễ sống phát triển mạnh ở những nơi có độ ẩm cao, thường được trồng để trang trí trong phòng khách, làm quà tặng tân gia, khai trương cửa hàng.","• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 50 – 60 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0129,,https://mowgarden.com/cay-ngoc-ngan-thai-chau-gom-hoa-tiet-cau-vong-agsn009/,Cây ngọc ngân Thái chậu gốm họa tiết cầu vồng AGSN009,Aglaonema Snow White,Cây ngọc ngân,250000,"Cây ngọc ngân là là cây trong nhà được đánh giá cao về phong thuỷ, người ta quan niệm rằng cây Ngọc ngân mang đến tài lộc, may mắn khi đặt trên bàn làm việc hay trang trí trong văn phòng. Về mặt tinh thần cây Ngọc ngân rất thích hợp làm quà tặng tình yêu.","• Kích thước chậu: 17x17cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0130,,https://mowgarden.com/cay-kim-ngan-binh-de-ban-chau-su-co-hinh-loni021/,Cây kim ngân bính để bàn chậu sứ có hình LONI021,Pachira aquatica,Cây kim ngân bính,250000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.",Chiều cao 35cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Vừa phải (2 lần/tuần),,,,,,,
CCNPLT0131,RADE026,https://mowgarden.com/cay-hanh-phuc-bonsai-de-ban-chau-su-rade026/,Cây hạnh phúc bonsai để bàn chậu sứ RADE026,Radermachera Sinica,Cây hạnh phúc,350000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 30 – 32cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0132,ANTH008,https://mowgarden.com/cay-hong-mon-tieu-canh-tho-trang-om-tui-may-man-anth008/,Cây hồng môn tiểu cảnh thỏ trắng ôm túi may mắn ANTH008,Anthurium andreanum,Cây hồng môn,450000,"Cây hồng môn được biết tới là một loại cây cảnh mang lại điều tốt lành, có thể giúp điều hòa khí phong thủy trong nhà, có khả năng thu hút những dòng khí tích cực và làm tiêu bớt dòng khí tiêu cực cho môi trường xung quanh, trồng cây hồng môn trong nhà sẽ giúp không gian sống trở nên hài hòa và bình yên hơn.","• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0133,HCMX001,https://mowgarden.com/chau-hoa-cuc-mam-xoi-trung-tet-co-lon-trang-tri-xot-tre-hcmx001/,Chậu hoa cúc mâm xôi trưng Tết cỡ lớn trang trí xọt tre HCMX001,Chrysanthemum morifolium,Hoa cúc mâm xôi,380000,"Cúc mâm xôi là một trong các loài hoa không thể thiếu vào dịp Tết cổ truyền. Chậu cúc mâm xôi có hình dáng tỏa ra theo dạng hình cầu, mang ý nghĩa vẹn tròn, cho một năm mới xuôn sẻ. Với màu vàng được xem là màu của sung túc, đầm ấm và nhiều tài lộc hơn. Do đó, người ta thường tặng cả cặp làm quà tặng cho ông bà, cha mẹ hoặc quý đối tác.","• Đường kính tán: 40cm (DxC)
• Chiều cao tổng: 50 – 55cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0134,CTBH008,https://mowgarden.com/cay-truc-bach-hop-mot-than-chau-xi-mang-ctbh008/,Cây trúc bách hợp một thân chậu xi măng CTBH008,Dracaena reflexa,Trúc bách hợp,950000,"Còn được gọi là trúc phất dụ, mọc thành bụi sum sê, ở chính giữa tạo thành hình hoa thị và tua tủa ra xung quanh. Cây có thân cứng, lá thuôn nhọn ở đầu, mép nguyên, màu xanh bóng xen lần dải màu vàng tươi từ gốc tới ngọn","• Kích thước chậu: 33×52 cm
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0135,LONI020,https://mowgarden.com/cay-kim-ngan-that-binh-chau-dat-nung-loni020/,Cây kim ngân thắt bính chậu đất nung LONI020,Pachira aquatica,Cây kim ngân,990000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.",Chiều cao 120 – 140 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0136,ANTH007,https://mowgarden.com/cay-hong-mon-co-lon-chau-gom-su-anth007/,Cây hồng môn cỡ lớn chậu gốm sứ ANTH007,Anthurium andreanum,Cây hồng môn,520000,"Cây hồng môn được biết tới là một loại cây cảnh mang lại điều tốt lành, có thể giúp điều hòa khí phong thủy trong nhà, có khả năng thu hút những dòng khí tích cực và làm tiêu bớt dòng khí tiêu cực cho môi trường xung quanh, trồng cây hồng môn trong nhà sẽ giúp không gian sống trở nên hài hòa và bình yên hơn.","• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0137,LONI019,https://mowgarden.com/cay-kim-ngan-3-than-de-ban-chau-dat-nung-loni019/,Cây kim ngân 3 thân để bàn chậu đất nung LONI019,Pachira aquatica,Cây kim ngân,230000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.",Chiều cao 20 – 25 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước 2 lần/tuần,,,,,,,
CCNPLT0138,MOAD003,https://mowgarden.com/cay-trau-ba-lo-monstera-adansonii-chau-gom-su-moad003/,Cây trầu bà lỗ Monstera ‘Adansonii’ chậu gốm sứ MOAD003,Monstera adansonii,Cây trầu bà lỗ,220000,"Trầu bà lỗ có tên khoa học là, Monstera adansonii, hay còn được gọi là Swiss Cheese Vine, với bộ lá xanh mát hình chóp và dễ sống trong nhà nên loại cây này rất được ưu chuộng. Mỗi chiếc lá có đầy những lỗ hình bầu dục tự nhiên trông rất lạ mắt giúp nó khó nhầm lẫn với các loại cây khác.",,Vừa phải,Nắng tán xạ / Bóng râm,Tưới nước 4 – 5 lần/tuần,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40 cm",,,,,,
CCNPLT0139,AGSU003,https://mowgarden.com/cay-bao-thanh-thien-aglaonema-sumatra-chau-dat-nung-agsu003/,Cây bao thanh thiên ‘Aglaonema Sumatra’ chậu đất nung AGSU003,Aglaonema red ‘Sumatra’,Cây bao thanh thiên,380000,"Cây bao thanh thiên có bộ lá sặc sỡ và khỏe khoắn nên rất thích hợp để trang hoàng thêm điểm nhấn cho không gian sống. Loại cây này còn được xe là tượng trưng cho sự ngay thẳng, chính trực trong phong thủy. Khi trồng sẽ giúp thu hút năng lượng tích cực, xua đuổi cái xấu.","• Kích thước chậu:
• Chiều cao tổng: 30 – 40 cm",Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0140,NTMX020,https://mowgarden.com/chau-cay-noi-that-mix-co-nhat-thinh-vuong-cung-dien-trau-ba-ntmx020/,"Chậu cây nội thất mix Cọ nhật, Thịnh vượng, Cung điện, Trầu bà NTMX020",,Cây cọ Nhật/ Thịnh vượng / Cung điện / Trầu bà,1200000,"Chậu cây nội thất được mix các loại cây dễ chăm sóc, thích nghi tốt với điều kiện thiếu sáng trong nhà. Sản phẩm được mix các loại cây Cọ Nhật, Cung điện, Thịnh vượng, Trầu bà thích hợp đặt tại phòng khách, lối hành lang, văn phòng, sảnh nhà hàng, khách sạn hoặc làm quà tặng.","• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 140 – 150 cm",Dễ chăm sóc,Nắng tán xạ / Sáng vừa phải,Tưới nước 2 – 3 lần/tuần,,,Đá mài,Màu đen,,,
CCNPLT0141,RADE021,https://mowgarden.com/cay-hanh-phuc-mot-than-nho-dat-nung-rade021/,Cây hạnh phúc một thân nhỏ đất nung RADE021,Radermachera Sinica,Cây hạnh phúc,650000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 28x34cm (DxC)
• Chiều cao tổng: 100 – 120cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0142,NTMX019,https://mowgarden.com/chau-cay-canh-mix-dai-loc-van-loc-ngoc-ngan-do-la-ntmx019/,"Chậu cây cảnh mix đại lộc, vạn lộc, ngọc ngân, đô la NTMX019",,Cây đại lộc / vạn lộc / ngọc ngân / đô la,6250000,"Chậu cây nội thất được mix các loại cây dễ chăm sóc, thích nghi tốt với điều kiện thiếu sáng trong nhà. Sản phẩm được mix các loại cây Đại lộc, Vạn lộc, Ngọc ngân, Đô la thích hợp đặt tại phòng khách, lối hành lang, văn phòng, sảnh nhà hàng, khách sạn hoặc làm quà tặng.","• Kích thước chậu: 40×52 cm (DxC)
• Chiều cao tổng: 220 – 240 cm",Dễ chăm sóc,Nắng tán nhiều / Nhiều sáng,Tưới nước 2 – 3 lần/tuần,,,Gốm sứ,Màu nâu sáng,,,
CCNPLT0143,RADE025,https://mowgarden.com/cay-hanh-phuc-mot-than-cao-150cm-chau-da-mai-rade025/,Cây hạnh phúc một thân cao 150cm chậu đá mài RADE025,Radermachera Sinica,Cây hạnh phúc,990000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0144,TBTX008,https://mowgarden.com/cay-trau-ba-thanh-xuan-co-lon-chau-da-mai-tbtx008/,Cây trầu bà thanh xuân cỡ lớn chậu đá mài TBTX008,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,1200000,"Trầu bà thanh xuân là loại cây trong nhà độc đáo được mọi người ưa thích và trưng bày trang trí. Trầu Bà Thanh Xuân có ý nghĩa về mặt phong thủy nó còn có ý nghĩa may mắn, đem lại tài lộc, gia tăng vận khí, thể hiện ý chí vươn lên của gia chủ.","• Kích thước chậu: 30x60cm (ĐxC)
• Chiều cao 140 – 150cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0145,AGSN008,https://mowgarden.com/cay-ngoc-ngan-snow-white-chau-dat-nung-agsn008/,Cây ngọc ngân ‘Snow White’ chậu đất nung AGSN008,Aglaonema Snow White,Cây ngọc ngân,175000,"Cây ngọc ngân là là cây trong nhà được đánh giá cao về phong thuỷ, người ta quan niệm rằng cây Ngọc ngân mang đến tài lộc, may mắn khi đặt trên bàn làm việc hay trang trí trong văn phòng. Về mặt tinh thần cây Ngọc ngân rất thích hợp làm quà tặng tình yêu.","• Kích thước chậu: 20x20cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0146,NTMX018,https://mowgarden.com/chau-cay-noi-that-mix-hanh-phuc-van-loc-truc-nhat-troc-bac-ntmx018/,"Chậu cây nội thất mix hạnh phúc, vạn lộc, trúc Nhật, tróc bạc NTMX018",,Cây hạnh phúc / vạn lộc / trúc Nhật / tróc bạc,1250000,"Chậu cây nội thất được mix các loại cây dễ chăm sóc, thích nghi tốt với điều kiện thiếu sáng trong nhà. Sản phẩm được mix các loại cây Hạnh Phúc, Vạn lộc, Trúc Nhật, Tróc bạc thích hợp thể đặt tại phòng khách, lối hành lang, văn phòng làm việc, sảnh nhà hàng, khách sạn hoặc làm quà tặng.","• Kích thước chậu: 32×52 cm (DxC)
• Chiều cao tổng: 110 – 120 cm",Dễ chăm sóc,Nắng tán xạ / Ít nắng,Tưới nước 2 – 3 lần/tuần,,,Xi măng nhẹ,Màu trắng,,,
CCNPLT0147,MONS106,https://mowgarden.com/cay-trau-ba-nam-my-monstera-borsigiana-chau-su-mons106/,Cây trầu bà Nam Mỹ Monstera ‘Borsigiana’ chậu sứ MONS106,Monstera Borsigiana,Trầu bà Nam Mỹ,750000,"Monstera là dòng câycó sức sống mạnh mẽ, dễ chăm sóc, chỉ ánh sáng tán xạ vừa phải, thích với môi trường có ít ánh sáng. Cây trầu bà Nam Mỹ được xem là biểu tượng rất được ưu thích trong lĩnh vực thời trang, kiến trúc và nội thất. Nó thường được đặt cạnh các thương hiệu lớn như một cách để tạo thêm điểm nhấn và phong cách.","• Kích thước chậu: 28x42cm (DxC)
• Chiều cao tổng: 100 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0148,RADE020,https://mowgarden.com/cay-hanh-phuc-mot-than-co-trung-chau-uom-rade020/,Cây hạnh phúc một thân cỡ trung chậu ươm RADE020,Radermachera Sinica,Cây hạnh phúc,450000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.",Chiều cao: 70 – 80cm (DxC),Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0149,TBTX007,https://mowgarden.com/cay-trau-ba-thanh-xuan-co-lon-chau-uom-tbtx007/,Cây trầu bà thanh xuân cỡ lớn chậu ươm TBTX007,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,700000,"Trầu bà thanh xuân là loại cây trong nhà độc đáo được mọi người ưa thích và trưng bày trang trí. Trầu Bà Thanh Xuân có ý nghĩa về mặt phong thủy nó còn có ý nghĩa may mắn, đem lại tài lộc, gia tăng vận khí, thể hiện ý chí vươn lên của gia chủ.","• Chiều cao 90 – 110cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,"Ít tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0150,LONI018,https://mowgarden.com/cay-kim-ngan-3-than-de-ban-chau-do-phat-tai-loni018/,Cây kim ngân 3 thân để bàn chậu đỏ phát tài LONI018,Pachira aquatica,Cây kim ngân,280000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.",Chiều cao 20 – 25 cm,Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới ít nước 2 lần/tuần,,,,,,,
CCNPLT0151,ZAMI029,https://mowgarden.com/cay-kim-tien-de-san-chau-men-su-zami029/,Cây kim tiền để sàn chậu men sứ ZAMI029,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,420000,"Cây kim tiền có lá hình xương cá màu xanh mướt. Loài này rất dễ sống phát triển mạnh ở những nơi có độ ẩm cao, thường được trồng để trang trí trong phòng khách, làm quà tặng tân gia, khai trương cửa hàng.","• Kích thước chậu: 25×25 cm (DxC)
• Chiều cao tổng: 90 – 100 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0152,EAMQ001,https://mowgarden.com/cay-trau-ba-la-sua-marble-queen-eamq001/,Cây trầu bà lá sữa ‘Marble Queen’ EAMQ001,Epipremnum Marble Queen,Trầu bà lá sữa,120000,Nhiều bạn nhầm lẫn loại này với trầu bà sữa nhưng Epipremnum Marble Queen là loại trầu bà đặc biệt với form lá ú tròn hơn gần giống như hình trái tim nhìn rất lạ mắt.,"• Chiều cao 10 – 20 cm
• Đường kính tán: 25 – 30 cm",Rất dễ chăm sóc,Ánh nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
