CATEGORYID,POTID,CATEGORY
CCNCAT0041,CCNPOT0164,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0164,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0164,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0165,Chậu Đất Nung
CCNCAT0041,CCNPOT0165,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0165,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0165,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0166,Chậu Đất Nung
CCNCAT0041,CCNPOT0166,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0166,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0166,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0167,Chậu Đất Nung
CCNCAT0041,CCNPOT0167,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0167,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0167,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0168,Chậu Đất Nung
CCNCAT0041,CCNPOT0168,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0168,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0168,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0169,Chậu Đất Nung
CCNCAT0041,CCNPOT0169,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0169,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0169,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0170,Chậu Đất Nung
CCNCAT0041,CCNPOT0170,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0170,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0171,Chậu Đất Nung
CCNCAT0041,CCNPOT0171,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0171,Chậu Mini Để Bàn
CCNCAT0042,CCNPOT0172,Chậu Đất Nung
CCNCAT0041,CCNPOT0172,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0172,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0172,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0173,Chậu Đất Nung
CCNCAT0041,CCNPOT0173,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0173,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0174,Chậu Đất Nung
CCNCAT0041,CCNPOT0174,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0174,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0175,Chậu Đất Nung
CCNCAT0041,CCNPOT0175,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0175,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0176,Chậu Đất Nung
CCNCAT0041,CCNPOT0176,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0176,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0177,Chậu Đất Nung
CCNCAT0041,CCNPOT0177,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0177,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0178,Chậu Đất Nung
CCNCAT0041,CCNPOT0178,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0178,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0178,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0179,Chậu Đất Nung
CCNCAT0041,CCNPOT0179,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0179,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0179,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0180,Chậu Đất Nung
CCNCAT0041,CCNPOT0180,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0180,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0180,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0181,Chậu Đất Nung
CCNCAT0041,CCNPOT0181,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0181,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0181,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0182,Chậu Đất Nung
CCNCAT0041,CCNPOT0182,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0182,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0182,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0183,Chậu Đất Nung
CCNCAT0041,CCNPOT0183,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0183,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0184,Chậu Đất Nung
CCNCAT0041,CCNPOT0184,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0184,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0185,Chậu Đất Nung
CCNCAT0041,CCNPOT0185,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0185,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0185,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0186,Chậu Đất Nung
CCNCAT0041,CCNPOT0186,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0186,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0186,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0187,Chậu Đất Nung
CCNCAT0041,CCNPOT0187,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0187,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0187,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0188,Chậu Đất Nung
CCNCAT0041,CCNPOT0188,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0188,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0188,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0189,Chậu Đất Nung
CCNCAT0041,CCNPOT0189,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0189,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0189,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0190,Chậu Đất Nung
CCNCAT0041,CCNPOT0190,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0190,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0190,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0191,Chậu Đất Nung
CCNCAT0041,CCNPOT0191,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0191,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0191,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0192,Chậu Đất Nung
CCNCAT0041,CCNPOT0192,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0192,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0192,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0193,Chậu Đất Nung
CCNCAT0041,CCNPOT0193,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0193,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0193,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0194,Chậu Đất Nung
CCNCAT0041,CCNPOT0194,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0194,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0194,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0195,Chậu Đất Nung
CCNCAT0041,CCNPOT0195,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0195,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0195,Kiểu Hình Bầu Tròn
CCNCAT0042,CCNPOT0196,Chậu Đất Nung
CCNCAT0041,CCNPOT0196,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0196,Chậu Mini Để Bàn
CCNCAT0047,CCNPOT0196,Kiểu Hình Bầu Tròn
CCNCAT0049,CCNPOT0197,Chậu Nhựa
CCNCAT0041,CCNPOT0197,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0198,Chậu Nhựa
CCNCAT0041,CCNPOT0198,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0199,Chậu Nhựa
CCNCAT0041,CCNPOT0199,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0200,Chậu Nhựa
CCNCAT0041,CCNPOT0200,Chậu Cây Cảnh
CCNCAT0050,CCNPOT0200,Kiểu Chậu Treo
CCNCAT0049,CCNPOT0201,Chậu Nhựa
CCNCAT0041,CCNPOT0201,Chậu Cây Cảnh
CCNCAT0050,CCNPOT0201,Kiểu Chậu Treo
CCNCAT0049,CCNPOT0202,Chậu Nhựa
CCNCAT0041,CCNPOT0202,Chậu Cây Cảnh
CCNCAT0050,CCNPOT0202,Kiểu Chậu Treo
CCNCAT0049,CCNPOT0203,Chậu Nhựa
CCNCAT0041,CCNPOT0203,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0204,Chậu Nhựa
CCNCAT0041,CCNPOT0204,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0205,Chậu Nhựa
CCNCAT0041,CCNPOT0205,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0206,Chậu Nhựa
CCNCAT0041,CCNPOT0206,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0207,Chậu Nhựa
CCNCAT0041,CCNPOT0207,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0208,Chậu Nhựa
CCNCAT0041,CCNPOT0208,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0209,Chậu Nhựa
CCNCAT0041,CCNPOT0209,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0210,Chậu Nhựa
CCNCAT0041,CCNPOT0210,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0211,Chậu Nhựa
CCNCAT0041,CCNPOT0211,Chậu Cây Cảnh
CCNCAT0049,CCNPOT0212,Chậu Nhựa
CCNCAT0041,CCNPOT0212,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0213,Chậu Xi Măng
CCNCAT0041,CCNPOT0213,Chậu Cây Cảnh
CCNCAT0051,CCNPOT0213,Kiểu Chậu Vuông
CCNCAT0038,CCNPOT0214,Chậu Xi Măng
CCNCAT0041,CCNPOT0214,Chậu Cây Cảnh
CCNCAT0051,CCNPOT0214,Kiểu Chậu Vuông
CCNCAT0038,CCNPOT0215,Chậu Xi Măng
CCNCAT0043,CCNPOT0215,Kiểu Trụ Đứng
CCNCAT0038,CCNPOT0216,Chậu Xi Măng
CCNCAT0041,CCNPOT0216,Chậu Cây Cảnh
CCNCAT0051,CCNPOT0216,Kiểu Chậu Vuông
CCNCAT0038,CCNPOT0217,Chậu Xi Măng
CCNCAT0041,CCNPOT0217,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0217,Kiểu Hình Bầu Tròn
CCNCAT0038,CCNPOT0218,Chậu Xi Măng
CCNCAT0041,CCNPOT0218,Chậu Cây Cảnh
CCNCAT0047,CCNPOT0218,Kiểu Hình Bầu Tròn
CCNCAT0038,CCNPOT0219,Chậu Xi Măng
CCNCAT0041,CCNPOT0219,Chậu Cây Cảnh
CCNCAT0043,CCNPOT0219,Kiểu Trụ Đứng
CCNCAT0038,CCNPOT0220,Chậu Xi Măng
CCNCAT0041,CCNPOT0220,Chậu Cây Cảnh
CCNCAT0039,CCNPOT0220,Kiểu Hình Bầu
CCNCAT0042,CCNPOT0221,Chậu Đất Nung
CCNCAT0041,CCNPOT0221,Chậu Cây Cảnh
